category, comic,author,1,2,3,4,5,6
Fantastic Four,Fantastic Four,Lee-Kirby,,0.65,0.2,0.15,,
American,X-Men #1,Claremont & Lee,,0.55,0.35,0.1,,
American,""""Heartbreak Soup""",G. Hernandez,,0.65,0.2,0.15,,
American,Betty & Veronica,Doyle & Decarlo,,0.82,0.09,0.09,,
American,Naughty Bits,Gregory,,0.69,0.18,0.13,,
American,Frank in the River,Woodring,,0.8,0.14,0.04,0.02,
American,A Contract With God,Eisner,,0.69,0.18,0.11,0.02,
American,Maus,Spiegelman,,0.7,0.08,0.22,,
American,Donald Duck,Barks,,0.78,0.14,0.08,,
European,Squeak in the mouse,Mattioli,,0.7,0.18,0.05,0.07,
European,Asterix,Goscinny & Uderzo,,0.78,0.12,0.07,0.03,
European,Welcome to Aflolol,Christin & Mezieres,,0.68,0.25,0.07,,
European,The long tomorrow,O'Bannon & Moebus,0.06,0.75,0.12,0.07,,
European,"""Manhattan""",Tardi,,0.61,0.12,0.16,0.11,
European,Click,Manara,,0.68,0.165,0.155,,
European,The Black Island,Herge,,0.67,0.26,0.07,,
European,"""The Clock Strikes""",Joost Swarte,,0.76,0.12,0.12,,
Japanese,750 Rider,Isami Ishii,,0.58,0.26,0.05,0.23,
Japanese,Father & Son,Hayashi & Oshima,,0.56,0.12,0.1,0.22,
Japanese,Wolf & Cub,Koike & Kojima,0.02,0.49,0.36,0.01,0.12,
Japanese,Akira,Katsuhiro Otomo,0.02,0.49,0.35,0.03,0.11,
Japanese,Cyborg 004,Shotaru Ishimori,0.04,0.49,0.28,0.06,0.13,
Japanese,Phoenix,Osuma Tezuka,0.05,0.41,0.27,0.09,0.18,
